Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1, y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003
"",Annual percent change,W826PCPI%,KIRIBATI,Inflation,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,16.1,7.7,5.5,6.3,5.4,4.5,6.6,-14.7,2.4,5.6,4,6.1,4.2,6.1,4,4.1,-1.5,2.2,4.7,0.4,1,2.5,n.a.,n.a.
"",Annual percent change,W542PCPI%,KOREA,Inflation,16.1,13.6,11.6,3.2,24.3,25.2,15.3,10.2,14.4,18.3,28.7,21.4,7.2,3.4,2.3,2.5,2.8,3.1,7.1,5.7,8.6,9.3,6.2,4.8,6.3,4.5,4.9,4.4,7.5,0.8,2.3,4.1,2.7,2.6
"",Annual percent change,W443PCPI%,KUWAIT,Inflation,8.3,8.3,8.3,9.2,14.6,6,4.4,8.4,7.2,7.1,6.9,7.3,8.1,4.3,1.3,1.4,1,0.7,1.5,3.4,75.2,9.1,-0.5,0.4,2.5,2.7,3.6,0.7,0.1,3,1.7,2.5,2.5,2.5
"",Annual percent change,W917PCPI%,KYRGYZ REPUBLIC,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.2,85,853.8,772.4,190.1,40.7,31.3,22.6,12,35.9,18.7,7,6.1,5.5
"",Annual percent change,W544PCPI%,LAO PEOPLE'S DEM.REP,Inflation,0.3,1.3,25.2,30.8,50,29.7,10.9,90,10,2.7,188.8,33.7,70.4,62.5,27.2,114.7,35,6.1,14.8,59.7,35.7,13.4,9.8,6.3,6.8,19.4,13,19.3,87.4,134,27.1,8,n.a.,n.a.
"",Annual percent change,W941PCPI%,LATVIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10.5,124.4,951.3,109.2,35.9,25,17.6,8.4,4.6,2.4,2.6,2.5,3,3
"",Annual percent change,W446PCPI%,LEBANON,Inflation,0,1.6,4.9,6,12.3,20,28.8,19,10.1,23.7,23.9,19.3,18.6,7.2,17.6,69.4,95.4,487.2,155,72.2,88.9,50.1,99.8,24.7,8,10.6,8.9,7.7,4.5,0.2,-0.4,0,n.a.,n.a.
"",Annual percent change,W666PCPI%,LESOTHO,Inflation,13.4,13.4,13.4,13.4,13.4,14.2,11.4,16.7,12.4,19.9,13.1,12.5,19.2,9.9,12.3,19.1,13,8.8,19.4,14.9,11.5,17.9,17,13.8,7.2,9.9,9.1,8.5,7.8,8.7,6.1,7.8,n.a.,n.a.
"",Annual percent change,W672PCPI%,LIBYA,Inflation,-5.2,-3.1,-0.3,8,7.4,9.2,5.4,6.3,10.7,16.1,14.3,13.2,13.8,10.5,12.4,9.1,3.4,4.4,3.1,4.5,8.5,11.7,9.4,7.5,10.7,8.3,4,3.6,3.7,2.6,-2.9,-8.5,n.a.,n.a.
"",Annual percent change,W946PCPI%,LITHUANIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7.8,224.7,413.6,410.4,72.1,39.5,24.7,8.8,5.1,0.8,1,1.3,2.8,3
"",Annual percent change,W137PCPI%,LUXEMBOURG,Inflation,3.9,4.4,5.4,7,12.7,12.8,9.2,7.1,3.1,4.5,6.3,8.1,9.4,8.7,5.6,4.1,0.3,-0.1,1.5,3.4,3.7,3.1,3.2,3.6,2.2,1.9,1.4,1.4,1,1,3.2,2.7,1.9,1.8
"",Annual percent change,W962PCPI%,"MACEDONIA, FYR",Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1711.4,338.7,126.4,15.8,1.9,2.5,-0.1,-0.7,5.8,5.3,n.a.,n.a.
"",Annual percent change,W674PCPI%,MADAGASCAR,Inflation,2.8,5.5,5.6,6.1,22,8.2,5,3.1,6.6,14,18.3,30.5,31.9,19.5,9.7,10.6,14.5,15.5,26.3,9,11.8,8.5,15.3,9.3,39,49,19.8,4.5,6.2,9.9,11.9,5,n.a.,n.a.
"",Annual percent change,W676PCPI%,MALAWI,Inflation,9.5,8.2,3.6,5.1,15.5,15.5,4.3,4.1,10.7,13.1,19.2,12,9.5,13.8,19.7,10.6,14.2,25.1,33.8,12.5,11.9,8.2,23.2,22.8,34.7,83.1,37.7,9.1,29.8,44.8,29.6,27.2,n.a.,n.a.
"",Annual percent change,W548PCPI%,MALAYSIA,Inflation,1.9,1.6,3.2,10.5,17.4,4.5,2.6,4.8,5,3.5,6.7,9.7,5.8,3.7,3.9,2.6,0.4,0.7,0.3,2.6,2.8,4.4,4.7,3.6,4.1,3.5,3.5,2.6,5.1,2.8,1.6,1.4,1.8,2.5
"",Annual percent change,W556PCPI%,MALDIVES,Inflation,4.3,5.6,5.5,10,18.3,0,31.4,-0.8,13.9,20,27.9,11.1,-0.8,9.9,1,-9.2,9.1,11.7,6.5,7.2,3.6,12.5,16.9,20.1,3.4,5.5,6.2,7.6,-1.4,3,-1.1,3.7,n.a.,n.a.
"",Annual percent change,W678PCPI%,MALI,Inflation,14.3,21.1,7.3,18.7,11.2,5.8,8,22.1,30.8,-0.9,20.3,3.9,3.9,6.2,4,10.8,-1.4,-14.9,9,-0.2,1.6,1.5,-5.9,-0.6,24.8,12.4,6.5,-0.7,4.1,-1.2,-0.7,5,n.a.,n.a.
"",Annual percent change,W181PCPI%,MALTA,Inflation,3.7,2.3,3.3,7.8,7.3,8.8,0.6,10.1,4.7,7.1,15.8,11.5,5.8,-0.9,-0.4,-0.2,2,0.4,0.9,0.8,3,2.6,1.8,4,4.1,4,2,3.1,2.4,2.1,2.4,2.9,2,2
"",Annual percent change,W682PCPI%,MAURITANIA,Inflation,10.3,7.2,5,18.5,14.6,16.6,6.6,5.8,2.4,12.4,5.9,6.9,9.8,6.1,13.5,10.3,7.8,8.2,6.3,9,4.9,5.5,10.2,9.3,4.1,6.5,4.7,4.5,8,4.1,3.3,4.7,n.a.,n.a.
"",Annual percent change,W684PCPI%,MAURITIUS,Inflation,1.6,0.3,5.4,13.5,29.1,14.8,12.9,9.6,10,7.9,33,26.4,13.4,7.5,5.5,8.3,4.3,0.7,3.6,13.6,10.7,12.8,2.9,8.9,9.4,6,5.9,7.9,5.4,7.9,5.3,4.4,n.a.,n.a.
"",Annual percent change,W273PCPI%,MEXICO,Inflation,5.2,5.3,5,12,23.7,15.1,15.8,29,17.5,18.1,26.5,28,58.9,101.9,65.5,57.7,86.2,131.8,114.2,20,26.7,22.7,15.5,9.8,7,35,34.4,20.6,15.9,16.6,9.5,6.4,4.3,3.8
"",Annual percent change,W921PCPI%,MOLDOVA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.6,162,1276,788.5,329.6,30.2,23.5,11.8,7.7,39.3,31.3,9.8,6.6,6
"",Annual percent change,W948PCPI%,MONGOLIA,Inflation,n.a.,0,0,0,0,0,0,0,0,0,0,-0.1,2.5,0,0.6,-1,0,0,0,0,0,20.2,202.6,268.4,87.6,56.8,46.8,36.6,9.4,7.6,11.6,8.2,6,5
"",Annual percent change,W686PCPI%,MOROCCO,Inflation,1.3,4.1,3.8,4.1,17.5,7.9,8.5,12.6,9.7,8.3,9.4,12.5,10.5,6.2,12.4,7.7,8.7,2.7,2.4,3.1,6,9,5.7,5.2,5.1,6.1,3,1,2.7,0.7,1.9,0.5,1.4,1.8
"",Annual percent change,W688PCPI%,MOZAMBIQUE,Inflation,2,2,2,2,2,2,2,2,2,2,2,4.2,17.7,28.2,30,30.8,40.5,164.1,58.5,42.1,43.7,33.3,45.1,42.3,63.1,54.4,44.6,6.4,0.6,2.9,12.7,9,n.a.,n.a.
"",Annual percent change,W518PCPI%,MYANMAR,Inflation,-4,2.1,7.6,25.3,25.2,31.6,22.4,-1.1,-4,5.7,-0.1,1.4,5.2,5.9,5.2,6.3,14.7,17.6,24,23.8,21.9,29.1,22.3,33.6,22.4,28.9,20,33.9,49.1,11.4,10.3,15,n.a.,n.a.
"",Annual percent change,W728PCPI%,NAMIBIA,Inflation,5.6,6.5,9.5,11.6,13.5,11.2,11.1,10.2,13.1,13.8,13.8,14.8,15.5,12,9.1,11.9,13.4,12.6,12.5,15.5,12,11.9,18.8,8.6,10.8,10,8.1,8.8,6.2,8.6,9.3,9.2,n.a.,n.a.
"",Annual percent change,W558PCPI%,NEPAL,Inflation,15.2,-2,8.4,11.4,19.8,7.6,-3.1,9.9,12.7,3.6,10.9,15.5,10.4,-10.9,4.1,3.7,19,10.8,10.5,10.2,7.4,15.1,19.3,8.9,8.9,7.7,7.2,8.1,8.3,11.4,3.4,2.4,n.a.,n.a.
"",Annual percent change,W138PCPI%,NETHERLANDS,Inflation,3.7,7.5,7.8,8,9.6,10.2,9.1,6.5,4.1,4.2,6.5,6.8,5.9,2.9,3.4,2.3,0,-1,0.5,1.1,2.5,3.1,3.2,2.6,2.7,2,1.4,1.9,1.8,2,2.3,5.1,3.4,2.3
"",Annual percent change,W353PCPI%,NETHERLANDS ANTILLES,Inflation,3.6,2.1,4.1,8.1,19.4,15.6,5.2,5.5,8.1,11.4,14.6,12.2,6.1,2.8,2.1,0.5,1.3,3.3,2.1,3.8,3.7,3.8,1.4,1.9,1.9,2.8,3.4,3.1,1.2,0.8,4.7,3.9,n.a.,n.a.
"",Annual percent change,W196PCPI%,NEW ZEALAND,Inflation,6.5,10.5,6.9,8.1,11.3,14.5,16.8,14.6,11.9,13.7,17.1,15.3,15.6,6.9,6.1,27.2,13,15.5,3.7,-1.6,6.2,3.1,2.1,1.7,1.8,2.4,2.3,1.7,1.6,1.1,2.7,2.7,1.8,1.5
"",Annual percent change,W278PCPI%,NICARAGUA,Inflation,26.7,27.4,26.9,27,13.3,7.7,2.7,11.5,4.6,75.7,35.1,23.8,24.9,31.1,35.4,219.5,681.6,911.9,14315.8,4709.3,3127.5,7755.3,40.5,20.4,7.7,11.2,11.6,9.2,13,11.2,11.6,8.3,n.a.,n.a.
"",Annual percent change,W692PCPI%,NIGER,Inflation,0.8,4.2,9.8,11.7,3.3,9.1,23.5,23.3,10.1,9.9,7.3,24.3,10.4,1.6,8.4,-1.1,-3.2,-6.6,0.6,-0.8,-2,1.5,-5.9,-0.6,24.8,21.9,5.3,2.9,4.5,-2.3,2.9,4,n.a.,n.a.
"",Annual percent change,W694PCPI%,NIGERIA,Inflation,13.8,16,3.5,5.4,12.7,33.9,24.3,13.8,21.7,11.7,10,20.8,7.7,23.2,39.6,5.5,5.4,10.2,34.5,50.5,7.4,13,44.6,57.2,57,72.8,29.3,8.5,10,6.6,6.9,18.9,14.7,11.2
"",Annual percent change,W142PCPI%,NORWAY,Inflation,10.6,6.3,7.2,7.4,9.4,11.7,9.2,9,8.2,4.6,10.9,13.8,11.3,8.4,6.3,5.7,7.2,8.7,6.7,4.6,4.1,3.4,2.3,2.3,1.4,2.5,1.3,2.6,2.3,2.3,3.1,3,1.5,2.5
"",Annual percent change,W449PCPI%,OMAN,Inflation,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,9.3,10,6.4,2.5,-2.1,-7.4,-4,7.6,2.6,1.6,1.6,10,4.6,1,1.1,-0.7,-1.1,0.3,-0.2,-0.5,0.5,-1,-2.6,n.a.,n.a.
"",Annual percent change,W564PCPI%,PAKISTAN,Inflation,4.5,7.7,5.2,23.1,26.7,20.9,7.2,10.1,6.1,8.3,11.9,11.9,5.9,6.4,6.1,5.6,3.5,4.7,8.8,7.8,9.1,11.8,9.5,10,12.4,12.3,10.4,11.4,6.2,4.1,4.4,3.8,3.7,4
"",Annual percent change,W283PCPI%,PANAMA,Inflation,3.1,1.9,5.4,6.9,16.3,5.9,3.9,4.6,4.2,8,13.8,7.3,4.3,2.1,1.6,1,-0.1,1,0.4,0.1,0.8,1.4,1.8,0.5,1.3,0.9,1.3,1.3,0.6,1.3,1.4,1.8,n.a.,n.a.
"",Annual percent change,W853PCPI%,PAPUA NEW GUINEA,Inflation,0.7,3.6,6.4,8.4,23.1,10.5,7.8,4.4,5.8,5.8,12.1,8,5.6,7.9,7.4,3.7,5.5,-7.2,17.5,4.5,7,7,4.3,5,2.9,17.3,11.6,3.9,13.6,14.9,15.6,10,n.a.,n.a.
"",Annual percent change,W288PCPI%,PARAGUAY,Inflation,-0.7,4.8,9.5,12.5,25.2,6.9,4.6,9.2,10.6,28.3,22.4,14,6.8,13.4,20.3,25.2,31.7,21.8,22.6,26.4,38.2,24.3,15.1,18.3,20.6,13.4,9.8,7,11.6,6.8,9,7.7,n.a.,n.a.
"",Annual percent change,W293PCPI%,PERU,Inflation,5,6.8,7.2,9.5,16.9,23.6,33.5,38.1,57.8,66.7,59.1,75.4,64.4,111.1,110.2,164.5,78,86.3,667.3,3398.5,7485.8,409.5,73.5,48.6,23.7,11.1,11.5,8.5,7.3,3.5,3.8,2,1.8,2.3
"",Annual percent change,W566PCPI%,PHILIPPINES,Inflation,15.3,21.4,8.2,16.6,34.2,6.8,6.2,19.5,6.9,16.8,17.4,17.6,8.9,0.8,53.2,23.3,-1.3,3.7,8.8,12.7,15.7,18.5,8.6,6.9,8.4,8,9,5.9,9.7,6.6,4.3,6.1,5,5.1
"",Annual percent change,W964PCPI%,POLAND,Inflation,5.7,5.2,4.6,7.7,13,11,8.2,8.3,7.2,9,9.4,21.2,100.8,22.1,15,15.1,17.8,25.2,60.2,251.1,585.8,70.3,43,35.3,32.2,27.9,19.9,14.9,11.8,7.3,10.1,5.4,3.2,3.2
"",Annual percent change,W182PCPI%,PORTUGAL,Inflation,3.9,4.3,5.5,7,12.7,12.8,9.2,7.1,4.5,4.5,6.8,19.9,22.7,25.1,29.3,19.4,11.6,9.5,9.5,11.6,13.4,11.4,8.9,6.5,5.2,4.1,2.9,1.9,2.2,2.2,2.8,4.4,2.9,2.2
"",Annual percent change,W453PCPI%,QATAR,Inflation,20,20,20,20,20,20,20,20,10,6,6.8,8.5,5.7,2.7,1.1,1.1,1.9,4.5,4.8,3.3,4.5,2.9,3,-0.9,1.4,3,7.1,2.7,2.9,2.2,1.7,-0.7,n.a.,n.a.
"",Annual percent change,W968PCPI%,ROMANIA,Inflation,0.6,0.6,0,0.7,1.1,0.2,0.5,0.6,2,1.9,1.5,2.2,16.9,4.7,-0.3,-0.2,0.7,1.1,2.6,0.9,127.9,161.1,210.4,256.1,136.7,32.3,38.8,154.8,59.1,45.8,45.7,34.5,25.2,17.5
"",Annual percent change,W922PCPI%,RUSSIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.6,91.4,1734.7,878.8,307.5,198,47.9,14.7,27.8,85.7,20.8,20.7,14.1,10.8
"",Annual percent change,W714PCPI%,RWANDA,Inflation,0.5,0.5,3.1,9.4,31.1,30.2,7.2,13.7,13.3,15.6,7.2,6.4,12.6,6.6,5.4,1.7,-1.1,4.1,2.9,1,4.2,19.6,9.5,14.9,47.3,48.2,13.4,11.7,6.8,-2.4,3.9,3.5,n.a.,n.a.
"",Annual percent change,W862PCPI%,SAMOA,Inflation,3,4.6,7.7,12,24.9,8.8,4.9,14.6,2.1,11.1,33,20.5,18.3,16.5,11.9,-32,5.7,4.6,8.5,6.5,15.2,-1.8,9,1.7,12.1,-2.9,5.4,6.9,2.2,0.3,1,1.5,n.a.,n.a.
"",Annual percent change,W716PCPI%,SAO TOME & PRINCIPE,Inflation,4.3,5.6,5.5,10,18.4,29.7,10.9,7.4,10.3,5.5,0.2,11.5,0.4,7,3.2,0.1,13.9,25,44.3,42.9,42.2,46.5,33.7,25.5,51.2,36.8,42,69,42.1,16.3,11,9.3,n.a.,n.a.
"",Annual percent change,W456PCPI%,SAUDI ARABIA,Inflation,0.2,4.5,4.3,16.5,21.4,34.6,31.5,11.4,11.2,1.2,4.4,2.8,1,0.2,-1.6,-3.1,-3.2,-1.6,0.9,1,-1,4.6,-0.4,0.8,0.6,5,0.9,-0.4,-0.2,-1.3,-0.6,-1.4,0,1.1
"",Annual percent change,W722PCPI%,SENEGAL,Inflation,2.8,3.9,6.1,11.3,16.6,31.7,1.1,11.3,3.5,9.6,8.7,5.8,17.4,11.7,11.7,13,6.1,-4.1,-1.8,0.4,0.3,-1.8,-0.1,-0.6,32,8.1,2.8,1.7,1.1,0.8,0.7,3,n.a.,n.a.
"",Annual percent change,W718PCPI%,SEYCHELLES,Inflation,14.9,14.9,21,18.2,24.5,18.5,14.9,14.9,11.7,12.6,13.5,10.5,-0.9,6,4.1,0.8,0.3,2.6,1.8,1.5,3.9,2,3.2,1.3,1.8,-0.3,-1.1,0.7,2.6,6.2,7.6,6.2,n.a.,n.a.
"",Annual percent change,W724PCPI%,SIERRA LEONE,Inflation,6.4,-1.3,5.5,5.7,14.4,19.9,17.2,8.3,10.9,21.4,12.9,23.4,26.9,68.5,66.6,76.6,80.9,178.7,34.3,60.8,110.9,102.7,65.5,22.2,24.2,26,23.1,14.9,35.5,34.1,-0.9,6,n.a.,n.a.
"",Annual percent change,W576PCPI%,SINGAPORE,Inflation,0.4,1.7,2.3,19.5,22.4,2.6,-1.9,3.2,4.9,4.1,8.6,8.2,3.8,1.2,2.6,0.4,-1.4,0.5,1.5,2.3,3.5,3.4,2.3,2.3,3.1,1.7,1.4,2,-0.3,0.4,1.1,1,1.1,1.6
"",Annual percent change,W936PCPI%,SLOVAK REPUBLIC,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10,23,13.4,9.9,5.8,6.1,6.7,10.7,12,7.3,4.3,7
"",Annual percent change,W961PCPI%,SLOVENIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,207.3,31.9,21.5,13.5,9.9,8.4,8,6.1,8.9,8.4,6.5,5.5
"",Annual percent change,W813PCPI%,SOLOMON ISLANDS,Inflation,4.3,5.6,6.9,3.2,18.9,10.1,4.3,8.6,12.1,7.7,8.2,13.1,13,7,10.9,9.4,13.1,11.5,16.8,14.9,8.7,15.1,10.8,9.2,13.3,9.6,11.8,8.1,12.4,8.3,6,7,n.a.,n.a.
"",Annual percent change,W199PCPI%,SOUTH AFRICA,Inflation,5.6,6.5,9.5,11.6,13.5,11.2,11.1,10.2,13.1,13.8,14.2,15.7,14.4,11.9,11.9,16.2,18.8,16.2,12.9,14.5,14.3,15.3,13.9,9.9,8.8,8.7,7.3,8.6,6.9,5.2,5.4,5.7,8.1,5.2
"",Annual percent change,W184PCPI%,SPAIN,Inflation,5.7,8.1,8.3,11.4,16.3,17,14.9,24.3,19.6,15.6,15.4,14.7,14.5,12,11.3,8.8,8.9,5.2,4.8,6.9,6.7,5.9,-11.2,4.9,4.5,4.7,3.5,1.9,1.8,2.2,3.5,3.2,2.3,2.3
"",Annual percent change,W524PCPI%,SRI LANKA,Inflation,5.9,2.7,6.3,9.7,12.3,6.7,1.2,1.2,9.2,10.6,26,18.1,10.8,14.1,16.6,1.5,8,7.7,14,11.6,21.5,12.2,11.4,11.7,8.4,7.7,15.9,9.6,9.4,4.7,6.2,14,n.a.,n.a.
"",Annual percent change,W361PCPI%,ST. KITTS AND NEVIS,Inflation,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,33.4,4.4,19.3,8.6,6,2.2,2.7,2.7,0,0.9,0.2,5.1,4.2,4.2,2.8,1.8,1.4,3,2,8.7,3.7,3.4,2.1,2.1,n.a.,n.a.
"",Annual percent change,W362PCPI%,ST. LUCIA,Inflation,13.4,8.4,7.9,13.4,34.2,17.8,9.7,8.9,10.9,9.4,19.4,15,4.6,1.5,1.2,1.6,0,7,0.8,4.4,3.8,6.2,4.6,0.8,2.7,5.9,1.2,0.3,2.8,3.5,3.6,2.5,n.a.,n.a.
"",Annual percent change,W364PCPI%,ST. VINCENT & GRENS.,Inflation,6.8,6.8,6.8,6.8,6.8,6.8,11.3,10.2,8.4,15.6,17.2,12.7,7.2,5.5,2.7,2.1,1,3.3,0.2,2.8,7.6,5.5,3.5,4.3,1,1.7,4.4,0.5,2.1,1,0.2,0.9,n.a.,n.a.
"",Annual percent change,W732PCPI%,SUDAN,Inflation,4,1.4,13.4,15.3,26.1,24,1.7,17.1,20,33.6,26.5,24,26.6,30.6,33.7,45.6,60,26.5,62.9,65.3,65.2,123.6,117.6,101.3,115.5,68.4,132.8,46.7,17.1,16,8,5,n.a.,n.a.
"",Annual percent change,W366PCPI%,SURINAME,Inflation,2.6,0.2,3.3,13,16.9,8.4,10.1,9.7,8.8,14.6,14.2,8.7,7.1,4.4,3.7,10.9,18.7,53.4,7.3,0.8,21.8,26,43.7,143.4,368.5,235.5,-0.8,7.3,19,98.8,59.1,50.2,n.a.,n.a.
"",Annual percent change,W734PCPI%,SWAZILAND,Inflation,1.9,2.3,2.3,13.4,19,13.3,4.7,20.8,8.9,14.6,18.5,20,10.8,11.7,12.6,20.5,13.8,13.5,21.6,7.6,13.1,9.1,7.5,12,13.8,12.3,6.4,7.9,7.5,5.9,9.9,7.5,n.a.,n.a.
"",Annual percent change,W144PCPI%,SWEDEN,Inflation,7,7.4,6,6.7,9.9,9.8,10.3,11.5,9.9,7.2,13.7,12.1,8.6,8.9,8,7.4,4.2,4.2,5.8,6.4,10.5,9.3,2.3,4.6,2.2,2.5,0.5,0.5,-0.1,0.5,1,2.6,2.3,2.2
"",Annual percent change,W146PCPI%,SWITZERLAND,Inflation,3.6,6.6,6.7,8.8,9.8,6.7,1.7,1.3,1.1,3.6,4,6.5,5.7,3,2.9,3.5,0.8,1.4,1.9,3.2,5.4,5.9,4,3.3,0.9,1.8,0.8,0.5,0,0.8,1.6,1,1,1
"",Annual percent change,W463PCPI%,SYRIAN ARAB REPUBLIC,Inflation,4.2,4.9,0.8,20,15.4,11.5,11.4,11.8,5.1,4.4,19.3,18.4,14.3,6,9.5,16.8,36.2,71.4,30,15.4,11.1,19,3.4,23.6,3.9,7.7,8.9,1.9,-0.4,-2.1,-0.6,1,n.a.,n.a.
"",Annual percent change,W528PCPI%,TAIWAN PROV.OF CHINA,Inflation,3.6,2.8,3,8.2,47.3,5.2,2.5,7,5.8,9.8,19,16.3,3,1.4,0,-0.2,0.7,0.5,1.3,4.4,4.1,3.6,4.5,2.9,4.1,3.7,3.1,0.9,1.7,0.2,1.3,0,0.4,1.6
"",Annual percent change,W923PCPI%,TAJIKISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.6,111.6,1156.7,2194.9,350.4,610,418.2,88,43.2,27.5,32.9,38.6,10.5,7.6
"",Annual percent change,W738PCPI%,TANZANIA,Inflation,3.5,4.7,7.6,10.5,19.2,26.5,6.9,11.6,11.5,13.8,30.2,30.3,25.7,28.9,27.1,36.1,33.3,32.4,30,31.2,30.4,28,21.9,23.6,37.1,26.5,21,16.1,9.8,9,6.2,5.2,4.4,3.9
"",Annual percent change,W578PCPI%,THAILAND,Inflation,-0.1,0.4,4.9,15.5,24.3,5.3,4.1,7.6,7.9,9.9,19.7,12.7,4.5,4.7,0.6,2.4,1.9,2.5,3.9,5.5,6,5.7,4.2,3.3,5.1,5.8,5.9,5.6,8.1,0.3,1.6,1.7,0.6,2.7
"",Annual percent change,W742PCPI%,TOGO,Inflation,4.5,6.5,7.7,3.6,12.8,18,11.6,22.5,1.4,7.5,12.3,10,10.3,9.7,-3.7,-1.9,4.1,2.5,1,2,1.5,5,-2.1,2.4,48.5,6.4,2.5,5.5,-1.4,4.5,-2.5,6.8,n.a.,n.a.
"",Annual percent change,W866PCPI%,TONGA,Inflation,0,0,0,0,0,0,11.7,17.5,9.6,5.5,-7.3,14.9,10.9,9.7,7.9,5.2,29.9,7.7,10.3,4,5.6,13.5,8.7,3.1,2.4,-0.5,2.7,2,3,3.9,5.3,7,n.a.,n.a.
"",Annual percent change,W369PCPI%,TRINIDAD AND TOBAGO,Inflation,2.5,3.5,9.3,14.8,22,17,10.6,11.1,10.6,14.4,17.5,14.5,11.4,16.8,13.3,7.7,7.7,13.4,12.1,4.6,11,3.8,6.5,13.1,3.7,5.3,3.3,3.6,5.6,3.4,5.6,2.5,n.a.,n.a.
"",Annual percent change,W744PCPI%,TUNISIA,Inflation,1.1,6,1.9,4.7,4.1,9.5,5.4,6.7,5.2,7.8,10,8.9,13.7,9,8.6,7.6,6.2,8.2,7.2,7.7,6.5,7.7,5.5,4,4.5,6.3,4.6,3.7,3.1,2.7,3,1.9,3.4,3
"",Annual percent change,W186PCPI%,TURKEY,Inflation,6.9,15.7,11.7,15.4,15.8,19.2,17.4,23,53.2,61.8,110.2,36.6,30.8,31.4,48.4,45,34.6,38.8,73.7,63.3,60.3,66,70.1,66.1,106.2,93.6,82.3,85.7,84.6,64.9,54.9,54.4,49.1,26.9
"",Annual percent change,W925PCPI%,TURKMENISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,492.9,3102.4,1748.3,1005.2,992.4,83.7,16.8,n.a.,n.a.,n.a.,n.a.,n.a.
"",Annual percent change,W746PCPI%,UGANDA,Inflation,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,49.4,95,99.2,100,100,150,16.7,100,143.8,215.4,166.7,130.8,45.4,20.8,42.2,30,6.5,6.1,7.5,7.8,5.8,-0.2,6.3,4.6,0.2,5.5
"",Annual percent change,W926PCPI%,UKRAINE,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.2,91.2,1210,4734.9,418.5,376.4,80.2,15.9,10.6,22.7,28.2,12,7.6,9.4
"",Annual percent change,W466PCPI%,UNITED ARAB EMIRATES,Inflation,22,22,22,22,22,22,22,22,13,11,10.1,7.9,7.1,1.3,2.4,3.5,5.4,5.5,5,2.8,0.6,5.5,4.3,5.2,5.7,4.4,3,2.9,2,2.1,1.4,2.2,n.a.,n.a.
"",Annual percent change,W112PCPI%,UNITED KINGDOM,Inflation,6.4,9.5,7.1,9.2,15.9,24.3,16.7,15.8,6.6,14.8,18.6,10.6,8.5,5.2,4.4,5.2,3.6,4.1,4.6,5.9,8.1,6.8,4.7,3,2.4,2.8,3,2.8,2.7,2.3,2.1,2.1,2.4,2.5
